Hydrant,Latitude,Longitude,Capacity_L_min,Available,Capacity_source,Public_hydrant_object_id,Model_type,Location_source
H0151,55.630269,12.575681,800,True,simulated_from_model_type,151,"Fields\/Privat, unset",6100_Brandhaner__Koebenhavn
H0152,55.629802,12.576335,800,True,simulated_from_model_type,152,"Fields\/Privat, unset",6100_Brandhaner__Koebenhavn
H0153,55.634103,12.582791,800,True,simulated_from_model_type,153,"unset, unset",6100_Brandhaner__Koebenhavn
H0154,55.63562,12.574293,800,True,simulated_from_model_type,154,"unset, unset",6100_Brandhaner__Koebenhavn
H0155,55.635032,12.575879,800,True,simulated_from_model_type,155,"unset, unset",6100_Brandhaner__Koebenhavn
H0156,55.635174,12.577664,800,True,simulated_from_model_type,156,"unset, unset",6100_Brandhaner__Koebenhavn
H0157,55.634597,12.579246,800,True,simulated_from_model_type,157,"unset, unset",6100_Brandhaner__Koebenhavn
H0158,55.634734,12.581043,800,True,simulated_from_model_type,158,"unset, unset",6100_Brandhaner__Koebenhavn
H0159,55.661823,12.591197,800,True,simulated_from_model_type,159,"unset, unset",6100_Brandhaner__Koebenhavn
H0160,55.664212,12.619678,800,True,simulated_from_model_type,160,"unset, unset",6100_Brandhaner__Koebenhavn
H0161,55.664699,12.620954,800,True,simulated_from_model_type,161,"unset, unset",6100_Brandhaner__Koebenhavn
H0162,55.664575,12.619888,800,True,simulated_from_model_type,162,"unset, unset",6100_Brandhaner__Koebenhavn
H0163,55.649047,12.636285,1600,True,simulated_from_model_type,163,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0164,55.661631,12.625948,1600,True,simulated_from_model_type,164,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0165,55.658277,12.567111,800,True,simulated_from_model_type,165,"unset, unset",6100_Brandhaner__Koebenhavn
H0166,55.629516,12.579926,2000,True,simulated_from_model_type,166,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0167,55.664821,12.610613,2000,True,simulated_from_model_type,167,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0168,55.660666,12.586042,800,True,simulated_from_model_type,168,"unset, unset",6100_Brandhaner__Koebenhavn
H0169,55.661457,12.584902,800,True,simulated_from_model_type,169,"unset, unset",6100_Brandhaner__Koebenhavn
H0170,55.619543,12.568813,800,True,simulated_from_model_type,170,"unset, unset",6100_Brandhaner__Koebenhavn
H0171,55.618506,12.568467,800,True,simulated_from_model_type,171,"unset, unset",6100_Brandhaner__Koebenhavn
H0172,55.617496,12.567817,800,True,simulated_from_model_type,172,"unset, unset",6100_Brandhaner__Koebenhavn
H0173,55.617634,12.570352,800,True,simulated_from_model_type,173,"unset, unset",6100_Brandhaner__Koebenhavn
H0174,55.61862,12.570841,800,True,simulated_from_model_type,174,"unset, unset",6100_Brandhaner__Koebenhavn
H0175,55.617319,12.574107,800,True,simulated_from_model_type,175,"unset, unset",6100_Brandhaner__Koebenhavn
H0176,55.616685,12.572108,800,True,simulated_from_model_type,176,"unset, unset",6100_Brandhaner__Koebenhavn
H0177,55.61772,12.572173,800,True,simulated_from_model_type,177,"unset, unset",6100_Brandhaner__Koebenhavn
H0178,55.618792,12.572536,800,True,simulated_from_model_type,178,"unset, unset",6100_Brandhaner__Koebenhavn
H0179,55.626696,12.576747,800,True,simulated_from_model_type,179,"unset, unset",6100_Brandhaner__Koebenhavn
H0180,55.657222,12.589846,2000,True,simulated_from_model_type,180,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0181,55.627462,12.578206,800,True,simulated_from_model_type,181,"unset, unset",6100_Brandhaner__Koebenhavn
H0182,55.666843,12.596958,2000,True,simulated_from_model_type,182,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0183,55.667798,12.596217,2000,True,simulated_from_model_type,183,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0184,55.666816,12.595927,2000,True,simulated_from_model_type,184,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0185,55.668124,12.581583,2000,True,simulated_from_model_type,185,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0186,55.618753,12.573122,800,True,simulated_from_model_type,186,"unset, unset",6100_Brandhaner__Koebenhavn
H0187,55.617682,12.572904,800,True,simulated_from_model_type,187,"unset, unset",6100_Brandhaner__Koebenhavn
H0188,55.66793,12.595643,2000,True,simulated_from_model_type,188,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0189,55.667371,12.595471,2000,True,simulated_from_model_type,189,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0190,55.664041,12.578621,800,True,simulated_from_model_type,190,"unset, unset",6100_Brandhaner__Koebenhavn
H0191,55.669262,12.602489,2000,True,simulated_from_model_type,191,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0192,55.667339,12.607108,2000,True,simulated_from_model_type,192,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0193,55.668978,12.599301,2000,True,simulated_from_model_type,193,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0194,55.668755,12.601565,2000,True,simulated_from_model_type,194,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0195,55.668559,12.603403,2000,True,simulated_from_model_type,195,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0196,55.658778,12.592483,2000,True,simulated_from_model_type,196,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0197,55.668449,12.60139,2000,True,simulated_from_model_type,197,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0198,55.626476,12.57781,2000,True,simulated_from_model_type,198,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0199,55.672569,12.591451,2000,True,simulated_from_model_type,199,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0200,55.660872,12.617159,2000,True,simulated_from_model_type,200,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0201,55.631325,12.572448,800,True,simulated_from_model_type,201,"A-60, unset",6100_Brandhaner__Koebenhavn
H0202,55.662654,12.615455,2000,True,simulated_from_model_type,202,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0203,55.664086,12.614348,2000,True,simulated_from_model_type,203,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0204,55.666157,12.612739,2000,True,simulated_from_model_type,204,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0205,55.665119,12.613544,2000,True,simulated_from_model_type,205,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0206,55.667837,12.6001,2000,True,simulated_from_model_type,206,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0207,55.668381,12.597093,2000,True,simulated_from_model_type,207,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0208,55.6387,12.583496,1600,True,simulated_from_model_type,208,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0209,55.616604,12.572707,800,True,simulated_from_model_type,209,"unset, unset",6100_Brandhaner__Koebenhavn
H0210,55.663851,12.600504,2000,True,simulated_from_model_type,210,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0211,55.663336,12.59878,2000,True,simulated_from_model_type,211,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0212,55.65009,12.591078,800,True,simulated_from_model_type,212,"A-60, unset",6100_Brandhaner__Koebenhavn
H0213,55.663143,12.596811,2000,True,simulated_from_model_type,213,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0216,55.668171,12.604644,2000,True,simulated_from_model_type,216,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0217,55.668108,12.605678,2000,True,simulated_from_model_type,217,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0218,55.669195,12.607623,2000,True,simulated_from_model_type,218,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0219,55.668879,12.606276,2000,True,simulated_from_model_type,219,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0220,55.667962,12.607138,2000,True,simulated_from_model_type,220,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0221,55.667752,12.608636,2000,True,simulated_from_model_type,221,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0222,55.667541,12.610145,2000,True,simulated_from_model_type,222,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0223,55.627249,12.580985,2000,True,simulated_from_model_type,223,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0225,55.618753,12.573123,2000,True,simulated_from_model_type,225,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0226,55.667027,12.577177,1600,True,simulated_from_model_type,226,"unset, 100 mm",6100_Brandhaner__Koebenhavn
H0227,55.667727,12.578104,1600,True,simulated_from_model_type,227,"unset, 100 mm",6100_Brandhaner__Koebenhavn
H0228,55.666736,12.578015,1600,True,simulated_from_model_type,228,"unset, 100 mm",6100_Brandhaner__Koebenhavn
H0229,55.68829,12.626694,1600,True,simulated_from_model_type,229,"unset, 100 mm",6100_Brandhaner__Koebenhavn
H0230,55.686993,12.626714,1600,True,simulated_from_model_type,230,"unset, 100 mm",6100_Brandhaner__Koebenhavn
H0231,55.686826,12.624383,1600,True,simulated_from_model_type,231,"unset, 100 mm",6100_Brandhaner__Koebenhavn
H0232,55.686053,12.624373,1600,True,simulated_from_model_type,232,"unset, 100 mm",6100_Brandhaner__Koebenhavn
